gov_region,region,brain_id,spec_id,alpha,mu,cost,RMSE_torsion_15,R2_torsion_15,RMSE_torsion_30,R2_torsion_30,RMSE_comp_ten,R2_comp_ten,nu,preconditioned,record_time,sample_name,protocol,orientation w.r.t. fiber direction,unnamed: 7,R2_min
BG,Pa,2,10,-19.460209623952828,155.87664258583507,0.1074935608434379,6.713827269856934,0.5168381193515288,30.84100167450414,-2.3068771161163677,28.201356110910528,0.9842482465041464,0.49,unconditioned,2019-11-14,HBE_02_10_P1_Pa,P1,,,-2.3068771161163677
BG,Pa,2,10,-23.37878968983979,109.85760249162573,0.0766244231122171,3.9550881137054255,0.7666804412366313,27.455186270552502,-2.417371396777778,22.530950787728493,0.9873999559022748,0.49,preconditioned,2019-11-14,HBE_02_10_P1_Pa,P1,,,-2.417371396777778
BG,Pa,2,10,-21.240096724573977,242.6602114440168,0.3911509186764061,16.896301982947595,-3.258161662506545,61.234256232229264,-15.999348811301363,49.8403734027629,0.9383439636710056,0.45,preconditioned,2019-11-14,HBE_02_10_P1_Pa,P1,,,-15.999348811301363
BG,Pa,2,10,-18.91318543750708,395.3086267448213,0.1202122387954669,29.49913506406558,29.49913506406558,87.9915899134039,87.9915899134039,81.1939463662478,81.1939463662478,0.38,unconditioned,2019-11-14,HBE_02_10_P1_Pa,P1,,,29.49913506406558
BG,Pa,5,22,-12.156269088448513,308.5066434937909,0.0306225241809552,24.48934070392489,24.48934070392489,38.91942412143715,38.91942412143715,61.73242412203024,61.73242412203024,0.49,preconditioned,2020-07-03,HBE_05_22_P2a_Pa_17,P2,,,24.48934070392489
BG,Pa,5,22,-17.167740742480436,410.9312724049436,0.0182813907575557,13.27618605602049,13.27618605602049,14.624693456608467,14.624693456608467,56.10027248474358,56.10027248474358,0.45,preconditioned,2020-07-03,HBE_05_22_P2a_Pa_17,P2,,,13.27618605602049
BG,Pa,5,22,-8.271552083069045,511.242571035696,0.0083492508874002,16.481149704487585,16.481149704487585,34.80344300014245,34.80344300014245,38.26236045236308,38.26236045236308,0.49,unconditioned,2020-07-03,HBE_05_22_P2a_Pa_17,P2,,,16.481149704487585
BG,Pa,5,22,-12.275229726951212,685.7468010284626,0.0052857339115354,8.04221257559947,8.04221257559947,23.92921156892662,23.92921156892662,35.047765475230825,35.047765475230825,0.45,unconditioned,2020-07-03,HBE_05_22_P2a_Pa_17,P2,,,8.04221257559947
BG,Pa,4,16,-13.168418553954815,255.5690651254668,0.028143016321588,31.49272136661452,31.49272136661452,48.47065262061026,48.47065262061026,32.10325412392229,32.10325412392229,0.49,unconditioned,2020-06-04,HBE_04_16_P2a_Pa_14,P2,,,31.49272136661452
BG,Pa,4,16,-24.83315024842699,231.23896430491783,0.0079537328544658,22.41629528273705,22.41629528273705,8.971751670530045,8.971751670530045,17.901891472780274,17.901891472780274,0.45,preconditioned,2020-06-04,HBE_04_16_P2a_Pa_14,P2,,,8.971751670530045
BG,Pa,4,16,-22.27478588141231,297.06725497536934,0.0089286566695246,24.193700170224965,24.193700170224965,10.126787163735864,10.126787163735864,26.44079168621859,26.44079168621859,0.45,unconditioned,2020-06-04,HBE_04_16_P2a_Pa_14,P2,,,10.126787163735864
BG,Pa,3,12,-18.27445044720523,255.37948478487837,0.0894547725904991,2.336080099041045,0.9900010907174666,27.51156032790035,0.5797037230122889,26.992029464334152,0.9755026772571604,0.45,unconditioned,2020-04-28,HBE_03_12_P1_Pa_26,P1,,,0.5797037230122889
BG,Pa,3,12,-13.77393874049889,187.68053806061144,0.0337565723229829,5.827038264382454,0.9377881797197092,3.539689316703404,0.9930424651771428,22.718401425342883,0.9826458605294236,0.49,unconditioned,2020-04-28,HBE_03_12_P1_Pa_26,P1,,,0.9377881797197092
BG,Pa,6,9,-15.34199473543396,256.3166400183123,0.0054750253371092,11.163986899982262,11.163986899982262,7.765989474258303,7.765989474258303,28.447204968897587,28.447204968897587,0.49,unconditioned,2020-10-29,HBE_06_09_P2_Pa,P2,,,7.765989474258303
BG,Pa,3,12,-18.596841008686983,114.27350447803104,0.014770832094742,7.171506828889531,0.8480181329457843,4.790540661611934,0.9730832616479276,13.10727831721754,0.9914802391632532,0.49,preconditioned,2020-04-28,HBE_03_12_P1_Pa_26,P1,,,0.8480181329457843
BG,Pa,3,12,-21.485919794271336,182.10021021222929,0.0748469376337135,2.066588846775436,0.987379426070476,28.735283419496323,0.031534082862011,20.43187847216929,0.9792976829861056,0.45,preconditioned,2020-04-28,HBE_03_12_P1_Pa_26,P1,,,0.031534082862011
BG,Pa,3,12,-18.04790386700724,350.06014260391487,0.0535617636518181,10.905285978352683,10.905285978352683,47.67120901549647,47.67120901549647,43.210110098491,43.210110098491,0.38,unconditioned,2020-04-28,HBE_03_12_P1_Pa_26,P1,,,10.905285978352683
BG,Pa,6,9,-19.79682735690089,359.90552981800056,0.0142085185426614,3.201380113931372,3.201380113931372,36.22892926472071,36.22892926472071,35.45822549315658,35.45822549315658,0.45,unconditioned,2020-10-29,HBE_06_09_P2_Pa,P2,,,3.201380113931372
BG,Pa,4,16,-16.144600242385785,182.62303050978224,0.0249725044176009,30.084371569706796,30.084371569706796,39.98544997266589,39.98544997266589,18.240286403932544,18.240286403932544,0.49,preconditioned,2020-06-04,HBE_04_16_P2a_Pa_14,P2,,,18.240286403932544
BG,Pu,6,8,-11.086177566346525,236.4236280690075,0.0202739406773951,8.667177549169764,8.667177549169764,20.970052394529336,20.970052394529336,39.05937335179211,39.05937335179211,0.49,preconditioned,2020-10-29,HBE_06_08_P2_Pu,P2,,,8.667177549169764
BG,Pu,2,14,-15.228790998136128,144.1398354132388,0.0098469082216878,4.757860340668446,0.9320434386173506,4.807076993678791,0.9816429365413692,10.879793784059974,0.9947837116727803,0.49,preconditioned,2019-11-15,HBE_02_14_P1_Pu,P1,,,0.9320434386173506
BG,Pu,2,14,-16.093435766806927,349.2556880522879,0.0367272808751758,12.177380819779817,12.177380819779817,40.53507032835114,40.53507032835114,26.38518548022638,26.38518548022638,0.38,unconditioned,2019-11-15,HBE_02_14_P1_Pu,P1,,,12.177380819779817
BG,Pu,5,11,-17.90730570186335,589.1623118982279,0.010327801238722,12.6314838694406,12.6314838694406,36.011561414281175,36.011561414281175,56.70268854992874,56.70268854992874,0.45,unconditioned,2020-07-02,HBE_05_11_P2a_Pu_19,P2,,,12.6314838694406
